Date,Open,High,Low,Close,Volume,Adj. Close
31/03/2002,10429.68,10537.48,10341.59,10403.94,1.15E+09,10403.94
30/03/2002,10429.68,10537.48,10341.59,10403.94,1.15E+09,10403.94
29/03/2002,10429.68,10537.48,10341.59,10403.94,1.15E+09,10403.94
28/03/2002,10429.68,10537.48,10341.59,10403.94,1.15E+09,10403.94
27/03/2002,10351.28,10490.15,10300.29,10426.91,1.18E+09,10426.91
26/03/2002,10280.51,10475,10233.65,10353.36,1.22E+09,10353.36
25/03/2002,10428.43,10497.76,10255.59,10281.67,1.06E+09,10281.67
24/03/2002,10477.7,10537.62,10324.23,10427.67,1.24E+09,10427.67
23/03/2002,10477.7,10537.62,10324.23,10427.67,1.24E+09,10427.67
22/03/2002,10477.7,10537.62,10324.23,10427.67,1.24E+09,10427.67
21/03/2002,10501.99,10577.82,10326.99,10479.84,1.34E+09,10479.84
20/03/2002,10626.85,10634.84,10455.56,10501.57,1.30E+09,10501.57
19/03/2002,10578.38,10722.78,10530.63,10635.25,1.26E+09,10635.25
18/03/2002,10608.54,10707.01,10488.84,10577.75,1.17E+09,10577.75
17/03/2002,10516.45,10663.69,10452.1,10607.23,1.49E+09,10607.23
16/03/2002,10516.45,10663.69,10452.1,10607.23,1.49E+09,10607.23
15/03/2002,10516.45,10663.69,10452.1,10607.23,1.49E+09,10607.23
14/03/2002,10501.29,10615.74,10421.17,10517.14,1.21E+09,10517.14
13/03/2002,10620.17,10648.68,10427.67,10501.85,1.35E+09,10501.85
12/03/2002,10604.32,10682.72,10462.34,10632.35,1.30E+09,10632.35
11/03/2002,10570.07,10679.68,10470.85,10611.24,1.21E+09,10611.24
10/03/2002,10531.67,10728.87,10480.33,10572.49,1.41E+09,10572.49
9/03/2002,10531.67,10728.87,10480.33,10572.49,1.41E+09,10572.49
8/03/2002,10531.67,10728.87,10480.33,10572.49,1.41E+09,10572.49
7/03/2002,10578.1,10663.82,10405.95,10525.37,1.52E+09,10525.37
6/03/2002,10431.96,10637.19,10393.84,10574.29,1.54E+09,10574.29
5/03/2002,10591.38,10639.96,10349.9,10433.41,1.55E+09,10433.41
4/03/2002,10368.1,10656.5,10313.01,10586.82,1.59E+09,10586.82
3/03/2002,10111.04,10397.09,10086.51,10368.86,1.46E+09,10368.86
2/03/2002,10111.04,10397.09,10086.51,10368.86,1.46E+09,10368.86
1/03/2002,10111.04,10397.09,10086.51,10368.86,1.46E+09,10368.86
28/02/2002,10130.28,10283.89,10055.34,10106.13,1.39E+09,10106.13
27/02/2002,10117.65,10315.72,10025.86,10127.58,1.39E+09,10127.58
26/02/2002,10145.86,10241.89,9986.84,10115.26,1.31E+09,10115.26
25/02/2002,9969.75,10204.04,9934.94,10145.71,1.37E+09,10145.71
24/02/2002,9834.89,10032.45,9726.67,9968.15,1.41E+09,9968.15
23/02/2002,9834.89,10032.45,9726.67,9968.15,1.41E+09,9968.15
22/02/2002,9834.89,10032.45,9726.67,9968.15,1.41E+09,9968.15
21/02/2002,9933.56,10072.98,9788.11,9834.68,1.38E+09,9834.68
20/02/2002,9742.37,9990.78,9674.91,9941.17,1.44E+09,9941.17
19/02/2002,9899.24,9923.39,9704.03,9745.14,1.19E+09,9745.14
18/02/2002,10000.83,10065.37,9843.54,9903.04,1.36E+09,9903.04
17/02/2002,10000.83,10065.37,9843.54,9903.04,1.36E+09,9903.04
16/02/2002,10000.83,10065.37,9843.54,9903.04,1.36E+09,9903.04
15/02/2002,10000.83,10065.37,9843.54,9903.04,1.36E+09,9903.04
14/02/2002,9989.67,10092.29,9905.95,10001.99,1.27E+09,10001.99
13/02/2002,9856.99,10056.24,9839.18,9989.67,1.22E+09,9989.67
12/02/2002,9880.35,9943.24,9766.18,9863.74,1.09E+09,9863.74
11/02/2002,9739.81,9933.07,9668.34,9884.78,1.16E+09,9884.78
10/02/2002,9627.65,9795.38,9503.52,9744.24,1.37E+09,9744.24
9/02/2002,9627.65,9795.38,9503.52,9744.24,1.37E+09,9744.24
8/02/2002,9627.65,9795.38,9503.52,9744.24,1.37E+09,9744.24
7/02/2002,9650.97,9799.67,9562.12,9625.44,1.44E+09,9625.44
6/02/2002,9682.04,9801.33,9558.18,9653.39,1.67E+09,9653.39
5/02/2002,9684.74,9842.77,9553.96,9685.43,1.78E+09,9685.43
4/02/2002,9905.46,9940.96,9648.55,9687.09,1.44E+09,9687.09
3/02/2002,9923.04,10022.82,9795.45,9907.26,1.37E+09,9907.26
2/02/2002,9923.04,10022.82,9795.45,9907.26,1.37E+09,9907.26
1/02/2002,9923.04,10022.82,9795.45,9907.26,1.37E+09,9907.26
31/01/2002,9763.2,9963.79,9701.76,9920,1.56E+09,9920
30/01/2002,9619.14,9821.81,9443.32,9762.86,2.02E+09,9762.86
29/01/2002,9865.54,9952.59,9576.65,9618.24,1.81E+09,9618.24
28/01/2002,9843.05,9959.44,9746.66,9865.75,1.19E+09,9865.75
27/01/2002,9793.23,9949.54,9697.47,9840.08,1.35E+09,9840.08
26/01/2002,9793.23,9949.54,9697.47,9840.08,1.35E+09,9840.08
25/01/2002,9793.23,9949.54,9697.47,9840.08,1.35E+09,9840.08
24/01/2002,9734.21,9926.71,9670.99,9796.07,1.55E+09,9796.07
23/01/2002,9710.96,9853.64,9588.49,9730.96,1.48E+09,9730.96
22/01/2002,9772.34,9905.26,9652.01,9713.8,1.31E+09,9713.8
21/01/2002,9830.94,9873.98,9673.11,9771.85,1.33E+09,9771.85
20/01/2002,9830.94,9873.98,9673.11,9771.85,1.33E+09,9771.85
19/01/2002,9830.94,9873.98,9673.11,9771.85,1.33E+09,9771.85
18/01/2002,9830.94,9873.98,9673.11,9771.85,1.33E+09,9771.85
17/01/2002,9712.21,9910.11,9684.39,9850.04,1.38E+09,9850.04
16/01/2002,9916.54,9923.32,9661,9712.27,1.48E+09,9712.27
15/01/2002,9892.73,10038.94,9805.33,9924.15,1.39E+09,9924.15
14/01/2002,9985.38,10038.87,9831.98,9891.42,1.29E+09,9891.42
13/01/2002,10069.52,10163.77,9938.12,9987.53,1.21E+09,9987.53
12/01/2002,10069.52,10163.77,9938.12,9987.53,1.21E+09,9987.53
11/01/2002,10069.52,10163.77,9938.12,9987.53,1.21E+09,9987.53
10/01/2002,10092.5,10174.91,9956.67,10067.86,1.30E+09,10067.86
9/01/2002,10153.18,10311.98,10049.25,10094.09,1.45E+09,10094.09
8/01/2002,10195.76,10270.53,10063.43,10150.55,1.26E+09,10150.55
7/01/2002,10261.33,10345.4,10137.61,10197.05,1.31E+09,10197.05
6/01/2002,10176.84,10341.87,10132.14,10259.74,1.51E+09,10259.74
5/01/2002,10176.84,10341.87,10132.14,10259.74,1.51E+09,10259.74
4/01/2002,10176.84,10341.87,10132.14,10259.74,1.51E+09,10259.74
3/01/2002,10073.88,10227.36,10002.54,10172.14,1.40E+09,10172.14
2/01/2002,10021.71,10125.85,9889.69,10073.4,1.17E+09,10073.4
1/01/2002,10136.36,10178.71,10002.96,10021.57,9.44E+08,10021.57
31/12/2001,10136.36,10178.71,10002.96,10021.57,9.44E+08,10021.57
30/12/2001,10133.94,10220.78,10067.17,10136.99,9.17E+08,10136.99
29/12/2001,10133.94,10220.78,10067.17,10136.99,9.17E+08,10136.99
28/12/2001,10133.94,10220.78,10067.17,10136.99,9.17E+08,10136.99
27/12/2001,10088.71,10187.71,10036.1,10131.31,8.76E+08,10131.31
26/12/2001,10035.55,10203.28,10014.1,10088.14,7.91E+08,10088.14
25/12/2001,10036.59,10114.91,9987.39,10035.34,4.40E+08,10035.34
24/12/2001,10036.59,10114.91,9987.39,10035.34,4.40E+08,10035.34
23/12/2001,9986.84,10148.13,9935.7,10035.34,1.69E+09,10035.34
22/12/2001,9986.84,10148.13,9935.7,10035.34,1.69E+09,10035.34
21/12/2001,9986.84,10148.13,9935.7,10035.34,1.69E+09,10035.34
20/12/2001,10064.13,10141.21,9912.76,9985.18,1.49E+09,9985.18
19/12/2001,9994.59,10142.95,9876.96,10070.49,1.48E+09,10070.49
18/12/2001,9893.22,10066.27,9876.19,9998.39,1.35E+09,9998.39
17/12/2001,9809.42,9996.25,9747.77,9891.97,1.26E+09,9891.97
16/12/2001,9764.72,9888.44,9661.14,9811.15,1.31E+09,9811.15
15/12/2001,9764.72,9888.44,9661.14,9811.15,1.31E+09,9811.15
14/12/2001,9764.72,9888.44,9661.14,9811.15,1.31E+09,9811.15
13/12/2001,9889.13,9927.95,9691.3,9766.45,1.51E+09,9766.45
12/12/2001,9887.27,9985.59,9745.42,9894.81,1.45E+09,9894.81
11/12/2001,9925.6,10063.98,9794.48,9888.37,1.37E+09,9888.37
10/12/2001,10047.04,10123.78,9868.03,9921.45,1.22E+09,9921.45
9/12/2001,10099.14,10160.24,9938.54,10049.46,1.25E+09,10049.46
8/12/2001,10099.14,10160.24,9938.54,10049.46,1.25E+09,10049.46
7/12/2001,10099.14,10160.24,9938.54,10049.46,1.25E+09,10049.46
6/12/2001,10113.53,10220.23,9997.98,10099.14,1.49E+09,10099.14
5/12/2001,9891.35,10195.04,9875.92,10114.29,1.77E+09,10114.29
4/12/2001,9765.55,9937.29,9700.24,9893.84,1.32E+09,9893.84
3/12/2001,9848.93,9861.94,9651.87,9763.96,1.20E+09,9763.96
2/12/2001,9828.8,9945.8,9752.26,9851.56,1.34E+09,9851.56
1/12/2001,9828.8,9945.8,9752.26,9851.56,1.34E+09,9851.56
30/11/2001,9828.8,9945.8,9752.26,9851.56,1.34E+09,9851.56
29/11/2001,9710.34,9873.29,9629.72,9829.42,1.38E+09,9829.42
28/11/2001,9867.06,9889.13,9662.8,9711.86,1.42E+09,9711.86
27/11/2001,9980.33,10021.48,9776.07,9872.6,1.29E+09,9872.6
26/11/2001,9961.58,10054.58,9862.22,9982.75,1.13E+09,9982.75
25/11/2001,9833.09,9983.24,9804.37,9959.71,4.10E+08,9959.71
24/11/2001,9833.09,9983.24,9804.37,9959.71,4.10E+08,9959.71
23/11/2001,9833.09,9983.24,9804.37,9959.71,4.10E+08,9959.71
22/11/2001,9894.19,9932.31,9746.45,9834.68,1.03E+09,9834.68
21/11/2001,9894.19,9932.31,9746.45,9834.68,1.03E+09,9834.68
20/11/2001,9968.64,10023.37,9825.06,9901.38,1.33E+09,9901.38
19/11/2001,9870.45,10040.46,9826.96,9976.46,1.32E+09,9976.46
18/11/2001,9871.51,9967.94,9754.07,9866.99,1.34E+09,9866.99
17/11/2001,9871.51,9967.94,9754.07,9866.99,1.34E+09,9866.99
16/11/2001,9871.51,9967.94,9754.07,9866.99,1.34E+09,9866.99
15/11/2001,9824.65,9967.46,9745.43,9872.39,1.45E+09,9872.39
14/11/2001,9751.13,9943.18,9683.97,9823.61,1.44E+09,9823.61
13/11/2001,9551.43,9811.29,9551.43,9750.95,1.37E+09,9750.95
12/11/2001,9606.13,9642.25,9347.76,9554.37,9.92E+08,9554.37
11/11/2001,9586.96,9692.35,9478.75,9608,1.09E+09,9608
10/11/2001,9586.96,9692.35,9478.75,9608,1.09E+09,9608
9/11/2001,9586.96,9692.35,9478.75,9608,1.09E+09,9608
8/11/2001,9558.39,9765,9506.91,9587.52,1.52E+09,9587.52
7/11/2001,9584.68,9695.67,9457.99,9554.37,1.41E+09,9554.37
6/11/2001,9437.09,9627.44,9315.79,9591.12,1.36E+09,9591.12
5/11/2001,9326.59,9534.58,9326.59,9441.03,1.27E+09,9441.03
4/11/2001,9264.52,9406.93,9152.91,9323.54,1.12E+09,9323.54
3/11/2001,9264.52,9406.93,9152.91,9323.54,1.12E+09,9323.54
2/11/2001,9264.52,9406.93,9152.91,9323.54,1.12E+09,9323.54
1/11/2001,9087.45,9320.77,8987.61,9263.9,1.32E+09,9263.9
31/10/2001,9123.64,9281.68,9018.26,9075.14,1.35E+09,9075.14
30/10/2001,9264.52,9265.34,9011.96,9121.98,1.30E+09,9121.98
29/10/2001,9543.37,9543.37,9232.83,9269.5,1.11E+09,9269.5
28/10/2001,9462.28,9626.54,9369.35,9545.17,1.24E+09,9545.17
27/10/2001,9462.28,9626.54,9369.35,9545.17,1.24E+09,9545.17
26/10/2001,9462.28,9626.54,9369.35,9545.17,1.24E+09,9545.17
25/10/2001,9342.29,9491.48,9143.09,9462.9,1.36E+09,9462.9
24/10/2001,9341.4,9456.4,9218.29,9345.62,1.34E+09,9345.62
23/10/2001,9379.17,9499.78,9249.02,9340.08,1.32E+09,9340.08
22/10/2001,9203.91,9438.75,9101.08,9377.03,1.11E+09,9377.03
21/10/2001,9162.81,9278.36,9027.74,9204.11,1.29E+09,9204.11
