Date,Adj.close,Buy/Sell,Bank,Shares
7/03/2002,10525.37,0.0,726.5278668569771,0.0
8/03/2002,10572.49,0.0,727.5278668569771,0.0
9/03/2002,10572.49,0.0,728.5278668569771,0.0
10/03/2002,10572.49,0.0,729.5278668569771,0.0
11/03/2002,10611.24,0.0,730.5278668569771,0.0
12/03/2002,10632.35,0.0,731.5278668569771,0.0
13/03/2002,10501.85,0.0,732.5278668569771,0.0
14/03/2002,10517.14,0.0,733.5278668569771,0.0
15/03/2002,10607.23,0.0,734.5278668569771,0.0
16/03/2002,10607.23,0.0,735.5278668569771,0.0
17/03/2002,10607.23,0.0,736.5278668569771,0.0
18/03/2002,10577.75,0.0,737.5278668569771,0.0
19/03/2002,10635.25,0.0,738.5278668569771,0.0
20/03/2002,10501.57,0.0,739.5278668569771,0.0
21/03/2002,10479.84,0.0,740.5278668569771,0.0
22/03/2002,10427.67,0.0,741.5278668569771,0.0
23/03/2002,10427.67,0.0,742.5278668569771,0.0
24/03/2002,10427.67,0.0,743.5278668569771,0.0
25/03/2002,10281.67,0.0,744.5278668569771,0.0
26/03/2002,10353.36,0.0,745.5278668569771,0.0
27/03/2002,10426.91,0.0,746.5278668569771,0.0
28/03/2002,10403.94,0.0,747.5278668569771,0.0
29/03/2002,10403.94,0.0,748.5278668569771,0.0
30/03/2002,10403.94,0.0,749.5278668569771,0.0
31/03/2002,10403.94,0.0,750.5278668569771,0.0
1/04/2002,10362.7,0.0,751.5278668569771,0.0
2/04/2002,10313.71,0.0,752.5278668569771,0.0
3/04/2002,10198.29,0.0,753.5278668569771,0.0
4/04/2002,10235.17,0.0,754.5278668569771,0.0
5/04/2002,10271.64,0.0,755.5278668569771,0.0
6/04/2002,10271.64,0.0,756.5278668569771,0.0
7/04/2002,10271.64,0.0,757.5278668569771,0.0
8/04/2002,10249.08,0.0,758.5278668569771,0.0
9/04/2002,10208.67,0.0,759.5278668569771,0.0
10/04/2002,10381.73,0.0,760.5278668569771,0.0
11/04/2002,10176.08,0.0,761.5278668569771,0.0
12/04/2002,10190.82,0.0,762.5278668569771,0.0
13/04/2002,10190.82,0.0,763.5278668569771,0.0
14/04/2002,10190.82,0.0,764.5278668569771,0.0
15/04/2002,10093.67,0.0,765.5278668569771,0.0
16/04/2002,10301.32,0.0,766.5278668569771,0.0
17/04/2002,10220.78,0.0,767.5278668569771,0.0
18/04/2002,10205.28,0.0,768.5278668569771,0.0
19/04/2002,10257.11,0.0,769.5278668569771,0.0
20/04/2002,10257.11,0.0,770.5278668569771,0.0
21/04/2002,10257.11,0.0,771.5278668569771,0.0
22/04/2002,10136.43,0.0,772.5278668569771,0.0
23/04/2002,10089.24,0.0,773.5278668569771,0.0
24/04/2002,10030.43,0.0,774.5278668569771,0.0
25/04/2002,10035.06,0.0,775.5278668569771,0.0
26/04/2002,9910.72,0.0,776.5278668569771,0.0
27/04/2002,9910.72,0.0,777.5278668569771,0.0
28/04/2002,9910.72,0.0,778.5278668569771,0.0
29/04/2002,9819.87,0.0,779.5278668569771,0.0
30/04/2002,9946.22,0.0,780.5278668569771,0.0
1/05/2002,10059.63,0.0,781.5278668569771,0.0
2/05/2002,10091.87,0.0,782.5278668569771,0.0
3/05/2002,10006.63,0.0,783.5278668569771,0.0
4/05/2002,10006.63,0.0,784.5278668569771,0.0
5/05/2002,10006.63,0.0,785.5278668569771,0.0
6/05/2002,9808.04,0.0,786.5278668569771,0.0
7/05/2002,9836.55,0.0,787.5278668569771,0.0
8/05/2002,10141.83,0.0,788.5278668569771,0.0
9/05/2002,10037.42,0.0,789.5278668569771,0.0
10/05/2002,9939.92,-0.0,790.5278668569771,0.0
11/05/2002,9939.92,0.0,791.5278668569771,0.0
12/05/2002,9939.92,0.0,792.5278668569771,0.0
13/05/2002,10109.66,0.0,793.5278668569771,0.0
14/05/2002,10298.14,0.0,794.5278668569771,0.0
15/05/2002,10243.68,0.0,795.5278668569771,0.0
16/05/2002,10289.21,0.0,796.5278668569771,0.0
17/05/2002,10353.08,0.0,797.5278668569771,0.0
18/05/2002,10353.08,0.0,798.5278668569771,0.0
19/05/2002,10353.08,0.0,799.5278668569771,0.0
20/05/2002,10229.5,0.0,800.5278668569771,0.0
21/05/2002,10105.71,0.0,801.5278668569771,0.0
22/05/2002,10157.88,0.0,802.5278668569771,0.0
23/05/2002,10216.08,0.0,803.5278668569771,0.0
24/05/2002,10104.26,0.0,804.5278668569771,0.0
25/05/2002,10104.26,0.0,805.5278668569771,0.0
26/05/2002,10104.26,0.0,806.5278668569771,0.0
27/05/2002,10104.26,0.0,807.5278668569771,0.0
28/05/2002,9981.58,0.0807589863785499,0.0,0.0807589863785499
29/05/2002,9923.04,0.0,1.0,0.0807589863785499
30/05/2002,9911.69,0.0,2.0,0.0807589863785499
31/05/2002,9925.25,0.0,3.0,0.0807589863785499
1/06/2002,9925.25,0.0,4.0,0.0807589863785499
2/06/2002,9925.25,0.0,5.0,0.0807589863785499
3/06/2002,9709.79,0.0,6.0,0.0807589863785499
4/06/2002,9687.84,0.0,7.0,0.0807589863785499
5/06/2002,9796.8,0.0,8.0,0.0807589863785499
6/06/2002,9624.64,0.0,9.0,0.0807589863785499
7/06/2002,9589.67,0.0,10.0,0.0807589863785499
8/06/2002,9589.67,0.0,11.0,0.0807589863785499
9/06/2002,9589.67,0.0,12.0,0.0807589863785499
10/06/2002,9645.4,0.0,13.0,0.0807589863785499
11/06/2002,9517.26,0.0,14.0,0.0807589863785499
12/06/2002,9617.71,0.0,15.0,0.0807589863785499
13/06/2002,9502.8,0.0,16.0,0.0807589863785499
14/06/2002,9474.21,0.0,17.0,0.0807589863785499
15/06/2002,9474.21,0.0,18.0,0.0807589863785499
16/06/2002,9474.21,0.0,19.0,0.0807589863785499
17/06/2002,9687.42,0.0,20.0,0.0807589863785499
18/06/2002,9706.12,0.0,21.0,0.0807589863785499
19/06/2002,9561.57,0.0,22.0,0.0807589863785499
20/06/2002,9431.77,0.0,23.0,0.0807589863785499
21/06/2002,9253.79,0.0,24.0,0.0807589863785499
22/06/2002,9253.79,0.0,25.0,0.0807589863785499
23/06/2002,9253.79,0.0,26.0,0.0807589863785499
24/06/2002,9281.82,0.0,27.0,0.0807589863785499
25/06/2002,9126.82,0.0,28.0,0.0807589863785499
26/06/2002,9120.11,0.0,29.0,0.0807589863785499
27/06/2002,9269.92,0.0,30.0,0.0807589863785499
28/06/2002,9243.26,0.0,31.0,0.0807589863785499
29/06/2002,9243.26,0.0,32.0,0.0807589863785499
30/06/2002,9243.26,0.0,33.0,0.0807589863785499
1/07/2002,9109.79,0.0,34.0,0.0807589863785499
2/07/2002,9007.75,0.0,35.0,0.0807589863785499
3/07/2002,9054.97,0.0,36.0,0.0807589863785499
4/07/2002,9054.97,0.0,37.0,0.0807589863785499
5/07/2002,9379.5,0.0,38.0,0.0807589863785499
6/07/2002,9379.5,0.0,39.0,0.0807589863785499
7/07/2002,9379.5,0.0,40.0,0.0807589863785499
8/07/2002,9274.9,0.0,41.0,0.0807589863785499
9/07/2002,9096.09,0.0,42.0,0.0807589863785499
10/07/2002,8813.5,0.0,43.0,0.0807589863785499
11/07/2002,8801.53,0.0,44.0,0.0807589863785499
12/07/2002,8684.53,0.0,45.0,0.0807589863785499
13/07/2002,8684.53,0.0,46.0,0.0807589863785499
14/07/2002,8684.53,0.0,47.0,0.0807589863785499
15/07/2002,8639.19,0.0,48.0,0.0807589863785499
16/07/2002,8473.11,0.0,49.0,0.0807589863785499
17/07/2002,8542.48,0.0,50.0,0.0807589863785499
18/07/2002,8409.49,0.0,51.0,0.0807589863785499
19/07/2002,8019.26,0.0,52.0,0.0807589863785499
20/07/2002,8019.26,0.0,53.0,0.0807589863785499
21/07/2002,8019.26,0.0,54.0,0.0807589863785499
22/07/2002,7784.58,0.0,55.0,0.0807589863785499
23/07/2002,7702.34,0.0,56.0,0.0807589863785499
24/07/2002,8191.29,0.0,57.0,0.0807589863785499
25/07/2002,8186.31,0.0,58.0,0.0807589863785499
26/07/2002,8264.39,0.0,59.0,0.0807589863785499
27/07/2002,8264.39,0.0,60.0,0.0807589863785499
28/07/2002,8264.39,0.0,61.0,0.0807589863785499
29/07/2002,8711.88,0.0,62.0,0.0807589863785499
30/07/2002,8680.03,0.0,63.0,0.0807589863785499
31/07/2002,8736.59,0.0,64.0,0.0807589863785499
1/08/2002,8506.62,0.0,65.0,0.0807589863785499
2/08/2002,8313.13,0.0,66.0,0.0807589863785499
3/08/2002,8313.13,0.0,67.0,0.0807589863785499
4/08/2002,8313.13,0.0,68.0,0.0807589863785499
5/08/2002,8043.63,0.0,69.0,0.0807589863785499
6/08/2002,8274.09,0.0,70.0,0.0807589863785499
7/08/2002,8456.15,0.0,71.0,0.0807589863785499
8/08/2002,8712.02,0.0,72.0,0.0807589863785499
9/08/2002,8745.45,0.0,73.0,0.0807589863785499
10/08/2002,8745.45,0.0,74.0,0.0807589863785499
11/08/2002,8745.45,0.0,75.0,0.0807589863785499
12/08/2002,8688.89,0.0,76.0,0.0807589863785499
13/08/2002,8482.39,0.0,77.0,0.0807589863785499
14/08/2002,8743.31,0.0,78.0,0.0807589863785499
15/08/2002,8818.14,-0.0807589863785499,789.0076159997136,0.0
16/08/2002,8778.06,0.0,790.0076159997136,0.0
17/08/2002,8778.06,0.0,791.0076159997136,0.0
18/08/2002,8778.06,0.0,792.0076159997136,0.0
19/08/2002,8990.79,0.0,793.0076159997136,0.0
20/08/2002,8872.07,0.0,794.0076159997136,0.0
21/08/2002,8957.23,0.0,795.0076159997136,0.0
22/08/2002,9053.64,0.0,796.0076159997136,0.0
23/08/2002,8872.96,0.0,797.0076159997136,0.0
24/08/2002,8872.96,0.0,798.0076159997136,0.0
25/08/2002,8872.96,0.0,799.0076159997136,0.0
26/08/2002,8919.01,0.0,800.0076159997136,0.0
27/08/2002,8824.41,0.0,801.0076159997136,0.0
28/08/2002,8694.09,0.0,802.0076159997136,0.0
29/08/2002,8670.99,0.0,803.0076159997136,0.0
30/08/2002,8663.5,0.0,804.0076159997136,0.0
31/08/2002,8663.5,0.0,805.0076159997136,0.0
1/09/2002,8663.5,0.0,806.0076159997136,0.0
2/09/2002,8663.5,0.0,807.0076159997136,0.0
3/09/2002,8308.05,0.0,808.0076159997136,0.0
4/09/2002,8425.12,0.0,809.0076159997136,0.0
5/09/2002,8283.7,0.0,810.0076159997136,0.0
6/09/2002,8427.2,0.0,811.0076159997136,0.0
7/09/2002,8427.2,0.0,812.0076159997136,0.0
8/09/2002,8427.2,0.0,813.0076159997136,0.0
9/09/2002,8519.38,0.0,814.0076159997136,0.0
10/09/2002,8602.61,0.0,815.0076159997136,0.0
11/09/2002,8581.17,0.0,816.0076159997136,0.0
12/09/2002,8379.41,0.0,817.0076159997136,0.0
13/09/2002,8312.69,0.0,818.0076159997136,0.0
14/09/2002,8312.69,0.0,819.0076159997136,0.0
15/09/2002,8312.69,0.0,820.0076159997136,0.0
16/09/2002,8380.18,0.0,821.0076159997136,0.0
17/09/2002,8207.55,0.0,822.0076159997136,0.0
18/09/2002,8172.45,0.0,823.0076159997136,0.0
19/09/2002,7942.39,0.0,824.0076159997136,0.0
20/09/2002,7986.02,0.0,825.0076159997136,0.0
21/09/2002,7986.02,0.0,826.0076159997136,0.0
22/09/2002,7986.02,0.0,827.0076159997136,0.0
23/09/2002,7872.15,0.0,828.0076159997136,0.0
24/09/2002,7683.13,0.0,829.0076159997136,0.0
25/09/2002,7841.82,0.0,830.0076159997136,0.0
26/09/2002,7997.12,0.0,831.0076159997136,0.0
27/09/2002,7701.45,0.0,832.0076159997136,0.0
28/09/2002,7701.45,0.0,833.0076159997136,0.0
29/09/2002,7701.45,0.0,834.0076159997136,0.0
30/09/2002,7591.93,0.0,835.0076159997136,0.0
1/10/2002,7938.79,0.0,836.0076159997136,0.0
2/10/2002,7755.61,0.0,837.0076159997136,0.0
3/10/2002,7717.19,0.0,838.0076159997136,0.0
4/10/2002,7528.4,0.0,839.0076159997136,0.0
5/10/2002,7528.4,0.0,840.0076159997136,0.0
6/10/2002,7528.4,0.0,841.0076159997136,0.0
7/10/2002,7422.84,0.0,842.0076159997136,0.0
8/10/2002,7501.49,0.0,843.0076159997136,0.0
9/10/2002,7286.27,0.0,844.0076159997136,0.0
10/10/2002,7533.95,0.0,845.0076159997136,0.0
11/10/2002,7850.29,0.0,846.0076159997136,0.0
12/10/2002,7850.29,0.0,847.0076159997136,0.0
13/10/2002,7850.29,0.0,848.0076159997136,0.0
