Date,Open,High,Low,Close,Volume,Adj. Close*
18-Nov-04,10549.20,10639.43,10499.62,10572.55,1456700032,10572.55
17-Nov-04,10481.83,10655.09,10470.21,10549.57,1684199936,10549.57
16-Nov-04,10549.79,10570.56,10445.31,10487.65,1364400000,10487.65
15-Nov-04,10541.89,10612.31,10463.34,10550.24,1453299968,10550.24
12-Nov-04,10469.21,10565.48,10419.77,10539.01,1531600000,10539.01
11-Nov-04,10386.95,10513.42,10364.10,10469.84,1392999936,10469.84
10-Nov-04,10378.59,10470.21,10330.54,10385.48,1504300032,10385.48
9-Nov-04,10387.62,10466.81,10327.00,10386.37,1450800000,10386.37
8-Nov-04,10385.15,10452.58,10313.51,10391.31,1358700032,10391.31
5-Nov-04,10317.05,10458.10,10279.96,10387.54,1724400000,10387.54
4-Nov-04,10132.48,10352.81,10076.36,10314.76,1782700032,10314.76
3-Nov-04,10137.05,10253.27,10062.80,10137.05,1767500032,10137.05
2-Nov-04,10053.87,10180.85,9976.29,10035.73,1659000064,10035.73
1-Nov-04,10028.73,10124.44,9953.29,10054.39,1395900032,10054.39
29-Oct-04,10004.69,10083.44,9936.77,10027.47,1500800000,10027.47
28-Oct-04,9998.94,10074.89,9900.42,10004.54,1628199936,10004.54
27-Oct-04,9888.25,10051.96,9807.80,10002.03,1741900032,10002.03
26-Oct-04,9750.59,9914.65,9718.94,9888.48,1685400064,9888.48
25-Oct-04,9757.22,9827.20,9660.18,9749.99,1380499968,9749.99
22-Oct-04,9863.85,9920.99,9732.81,9757.81,1469600000,9757.81
21-Oct-04,9884.65,9969.07,9769.16,9865.76,1672999936,9865.76
20-Oct-04,9895.19,9957.05,9766.95,9886.93,1685699968,9886.93
19-Oct-04,9958.38,10064.20,9854.19,9897.62,1737500032,9897.62
18-Oct-04,9932.98,10002.18,9816.73,9956.32,1373299968,9956.32
15-Oct-04,9895.63,10022.31,9845.56,9933.38,1645100032,9933.38
14-Oct-04,10002.54,10048.48,9837.22,9894.45,1489500032,9894.45
13-Oct-04,10085.21,10157.11,9935.08,10002.33,1546200064,10002.33
12-Oct-04,10080.42,10121.49,9985.44,10077.18,1320099968,10077.18
11-Oct-04,10056.09,10142.74,10017.67,10081.97,943800000,10081.97
8-Oct-04,10124.11,10177.53,10013.91,10055.20,1291600000,10055.20
7-Oct-04,10239.84,10267.57,10086.83,10125.40,1447500032,10125.40
6-Oct-04,10170.70,10267.14,10112.20,10239.92,1416700032,10239.92
5-Oct-04,10216.76,10253.93,10123.19,10177.68,1418400000,10177.68
4-Oct-04,10191.40,10313.81,10153.79,10216.54,1534000000,10216.54
1-Oct-04,10082.04,10237.05,10081.38,10192.65,1582200064,10192.65
30-Sep-04,10136.38,10155.49,9987.36,10080.27,1748000000,10080.27
29-Sep-04,10078.06,10160.50,10002.57,10136.24,1402899968,10136.24
28-Sep-04,9989.73,10132.04,9950.71,10077.40,1396600064,10077.40
27-Sep-04,10046.65,10077.32,9952.78,9988.54,1263500032,9988.54
